2nd-level,1st-level
Säugetiere / Mammalia,Lebewesen
Viren,Lebewesen
Vögel / Aves,Lebewesen
Weichtiere / Mollusca,Lebewesen
Wirbellose / Invertebrata,Lebewesen
Exkursion,Lehrform
Geländepraktikum,Lehrform
Sommerschule,Lehrform
Lehrpraktikum,Lehrform
Arbeitsmanagement,Management
Artenschutzmanagement,Management
betriebliches Management,Management
Biodiversitätsmanagement,Management
Citymanagement / Stadtmanagement / Regionalmanagement,Management
Energiemanagement,Management
Flächennutzungsmanagement,Management
Flussgebietsmanagement,Management
Gebietsmanagement / Biotopmanagement / Schutzgebietsmanagement,Management
Gesundheitsschutzmanagement,Management
Hochwasserrisikomanagement,Management
Innovationsmanagement,Management
Integriertes Wasser-Ressourcen-Management (IWRM),Management
IT-Sicherheitsmanagement,Management
Landnutzungsmanagement,Management
Managementplanung,Management
Nachhaltigkeitsmanagement,Management
Projektmanagement,Management
Qualitätsmanagement,Management
Ressourcenmanagement,Management
Risikomanagement,Management
Strategisches Management,Management
Umweltmanagement,Management
Wassermanagement / Management Wassereinzugsgebiet,Management
Bestimmung von Arten / Artenkenntnis,Methoden
Bioanalytik / Umweltanalytik,Methoden
biologische Systematik,Methoden
Biologisches Zeichnen,Methoden
Biometrie,Methoden
bodenkundliche Messtechniken,Methoden
faunistische Erfassungsmethode / Bestandsaufnahme / Fangmethode,Methoden
Felduntersuchung / Feldmethode / Freilanduntersuchung,Methoden
floristische Erfassungsmethode / Bestandsaufnahme,Methoden
geographische Untersuchungstechnik / geographische Recherchetechnik,Methoden
Informationssystem / Expertensystem,Methoden
Informationstechnologie / Kommunikationstechnologie,Methoden
Labormethode / Laborexperiment,Methoden
Landschaftsanalyse,Methoden
Meteorologische Messtechniken / Meteorologische Messverfahren,Methoden
Methoden der empirischen Sozialforschung,Methoden
Mikroskopie,Methoden
Modellierung / Modelle / Implementierung von Modellen,Methoden
Monitoring / Biomonitoring / Umweltmonitoring,Methoden
Morphometrische Methoden,Methoden
Ökogramm,Methoden
ökologisches Experiment,Methoden
Planungsmethoden,Methoden
Präparation / Präparationsmethode,Methoden
Probenahmestrategie / repräsentative Probenahme,Methoden
Produktivitätsbestimmung,Methoden
Sammeln / Sammelstrategien,Methoden
Sammlungen / naturkundliche Sammlungen,Methoden
Simulation / Simulatoren / Simulationsexperiment,Methoden
Taxonomie,Methoden
tierökologische Analyse,Methoden
Toxikologische Untersuchungsverfahren,Methoden
Umweltrisikoanalyse / Risikoanalyse,Methoden
Versuchsplanung / Versuchspläne,Methoden
Zeigerwerte Ellenberg,Methoden
zellbiologische / molekularbiologische Arbeitsmethoden,Methoden
nachhaltige Entwicklung,Nachhaltigkeit
Nachhaltigkeit,Nachhaltigkeit
Nachhaltigkeitsberichterstattung / Nachhaltigkeitsbericht,Nachhaltigkeit
Systems Thinking,Nachhaltigkeit
Artenschutz,Naturschutz
Artenschwund,Naturschutz
Biotopschutz,Naturschutz
Gefährdung / Gefährdungsursachen / Gefährdungsabschätzung,Naturschutz
Naturschutz,Naturschutz
naturschutzrelevante Artengruppen (floristisch / faunistisch),Naturschutz
Renaturierung landwirtschaftlicher Flächen,Naturschutz
Rote Liste,Naturschutz
Schutz von Wäldern / Waldnaturschutz,Naturschutz
Schutzgebietskategorien national / international,Naturschutz
Bewässerung / Entwässerung,Nutzung
biologische Sanierungsverfahren  / nicht-biologische Sanierungsverfahren,Nutzung
biotische Risikofaktoren,Nutzung
Bodendegradation / Bodenerosion,Nutzung
differenzierte Landnutzung  / Biosphärenreservat,Nutzung
Ertragsbildung  von Böden,Nutzung
Forstwirtschaft,Nutzung
Industrie,Nutzung
Kreislaufwirtschaft,Nutzung
Kurzumtriebsplantagen,Nutzung
Landnutzung / Landnutzungssysteme,Nutzung
Landnutzungsplanung,Nutzung
Landrehabilitation,Nutzung
Landwirtschaft,Nutzung
nachhaltige Landnutzung,Nutzung
Nutzung,Nutzung
Nutzung von Biodiversität,Nutzung
Nutzpflanzen,Nutzung
Nutzung von Ökosystemen,Nutzung
Nutzungsänderung / Bewirtschaftungsänderung,Nutzung
Nutzungskonflikt,Nutzung
Pflanzeninhaltsstoffe,Nutzung
Subsistenzlandwirtschaft,Nutzung
Szenarien,Nutzung
Theorie der erschöpfbaren Ressourcen,Nutzung
(Angewandte) Ökologie,Ökologie
Abiotik / Abiotische Parameter / Abiotische Umweltfaktoren,Ökologie
Antagonismus,Ökologie
Biogeosysteme,Ökologie
Biomineralisation,Ökologie
Biosphäre,Ökologie
Biotik / Biotische Parameter,Ökologie
Biotop,Ökologie
Biozönose / Artengemeinschaft,Ökologie
Botanik / Flora,Ökologie
demographische Prozesse / Lebenszyklen,Ökologie
Destruenten,Ökologie
Energiehaushalt / Energiefluss,Ökologie
Evolution / Koevolution,Ökologie
Exotische Arten / Neobiota / Neophyten / Neozoen,Ökologie
