ModulNr.1,tag,VNT_37,VNT_44,VNT_46,POL-METH,Phil-MA 2,Phil-MA WP-1,Phil-PM-WT 3,BWL-MA-02-04 / MA-WW-BWL-0205 / D-WW-WIWI-0205,BWL-MA-03-04,BWL-MA-04-04,FOMH 6,FOMH 9,FOMH 10,FOMH 12,MSc GIT 04,MSc GIT 09,MSc GIT 12,MSc G 04,MSc G 09,MSc G 11
Forschung,Berichtlegung / Dokumentation / Qualifizierungsarbeiten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Datenbanken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,empirische Sozialforschung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Ergebnisinterpretation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Forschung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Forschungsmethoden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Forschungsfragen / Hypothesen / Forschungsansätze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Forschungsplan / Arbeitsplan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Forschungspraktikum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Interdisziplinarität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Literaturrecherche / Literaturauswertung / Literaturdatenbanken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Patentierung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,wissenschaftliche Diskussion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,wissenschaftliche Publikation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
